Temperature,days to calculate doubling time,Replicate,Average Doubling Time (Exponential portion_hours),Best_batch
42,"4,7",42A,126,TRUE
42,"5,7",42B,61.4,FALSE
43,"4,7",43A,86.4,TRUE
44,"3,7",44A,105.5,TRUE
45,"4,7",45A,81,TRUE
50,"3,6",50A,64.8,TRUE
51.5,"1,4",51.5A,51.4,TRUE
54,"1,3",54A,35,TRUE
55,"0,2",55A,36.9,TRUE
55,"0,3",55B,43.6,FALSE
55,"0,2",55C,25.4,FALSE
55,"1,4",55D,57,FALSE
57,"1,3",57A,29.8,TRUE
61,"1,3",61A,39.4,TRUE
61.5,"1,3",61.5A,73.6,TRUE
62,"1,3",62A,90,TRUE
62,"2,5",62B,46.3,FALSE
62.5,"1,4",62.5A,55.8,FALSE
62.5,"3,5",62.5B,55.7,TRUE
63,"4,6",63A,70.8,FALSE
63,"5,7",63B,96.8,TRUE
63,"4,7",63C,105.3,FALSE
63,"3,6",63D,130.3,FALSE
63,"2,6",63E,190,FALSE